City,Year,t2m_1,t2m_5,t2m_10,t2m_90,t2m_95,t2m_99,Month_1,Month_5,Month_10,Month_90,Month_95,Month_99
AndoyaSpaceCenter,2008,288.086931094336,286.05958584668,285.643986649414,282.113758488281,281.721661431641,280.877985141016,7,8,8,8,8,8
AndoyaSpaceCenter,2009,290.728489392578,288.938650469727,288.380358365234,283.001116743164,282.236622427734,281.527737160938,8,8,8,8,8,8
AndoyaSpaceCenter,2010,288.08281166543,286.71055171875,285.852899033203,281.539184907227,281.089104114258,280.798026139844,7,7,7,7,7,7
AndoyaSpaceCenter,2011,289.154363316016,288.402585740234,287.429539105469,282.318083837891,281.962308710937,281.616095376172,7,8,8,8,8,8
AndoyaSpaceCenter,2012,287.852841786719,286.600135158203,285.530025599609,281.950338082031,281.389248855469,280.939441038867,7,7,8,8,8,7
AndoyaSpaceCenter,2013,290.119838035742,288.456353197266,287.749950658203,283.333392368164,283.085167581055,282.506586109766,7,8,8,8,8,8
AndoyaSpaceCenter,2014,291.803253825781,289.5218475625,288.702931089844,283.666727716797,283.022669080078,282.042450791406,7,7,7,7,7,8
AndoyaSpaceCenter,2015,289.778878219727,289.115232086914,288.483011424805,284.03208737793,283.755474692383,283.208933974609,8,8,8,8,8,8
AndoyaSpaceCenter,2016,288.985857628125,286.764341351562,286.083338861328,283.043027411133,282.872484598633,282.396950405469,7,8,8,7,7,7
AndoyaSpaceCenter,2017,288.006744366211,286.546180908203,285.96415075,282.58968668457,282.217783147461,281.726986313281,9,8,8,8,8,8
AndoyaSpaceCenter,2018,292.764703947266,290.4465980625,289.22887115625,283.117956460937,282.775736064453,282.339616531836,7,7,7,8,8,8
AndoyaSpaceCenter,2019,289.191292113086,287.746918757812,286.928674921875,282.959749044922,282.68264878418,282.349491341016,8,7,7,8,8,8
AndoyaSpaceCenter,2020,290.796523705859,289.729942337891,288.690006783203,282.441308273437,282.133968617188,281.571979949219,7,7,7,8,8,8
AndoyaSpaceCenter,2021,289.731567604687,287.646508931641,286.52272980957,282.035125001953,281.644172234375,281.193231677734,7,8,8,8,8,8
AndoyaSpaceCenter,2022,291.808707902344,288.690380484375,287.747844439453,283.575719955078,283.308529890625,282.886624026563,6,7,7,7,7,7
AndoyaSpaceCenter,2023,291.726345862695,290.35607865918,288.811989973633,284.676663274414,284.344777073242,283.98366707793,8,8,8,8,8,8
AndoyaSpaceCenter,2024,293.524426059375,292.5569699375,291.72274603418,285.682190853516,285.144328553711,284.526292186914,8,8,8,8,8,8
AndoyaSpaceCenter,2025,292.900697377344,290.750692181641,289.974930166992,283.597359580078,283.127918450195,282.448786117969,8,8,8,8,8,7
